long_name,name,state,fines,standard_loan_weeks,ILS,website,
Sunshine Coast Regional Council,Sunshine Coast Regional,qld,no,3,Civica Spydus,https://library.sunshinecoast.qld.gov.au/,
Tablelands Regional Council,Tablelands Regional,qld,no,4,Civica Spydus,https://www.trc.qld.gov.au/library-services/,
Toowoomba Regional Council,Toowoomba Regional,qld,no,4,Civica Spydus,https://www.tr.qld.gov.au/facilities-recreation/libraries,
Torres Shire Council,Torres Shire,qld,no,4,AIT Aurora,https://www.torres.qld.gov.au/council-facilities/thursday-island/library,
Torres Strait Island Regional Council,Torres Strait Island Regional,qld,no,4,AIT Aurora,http://www.tsirc.qld.gov.au/our-work/indigenous-knowledge-centres,
Townsville City Council,Townsville City,qld,no,4,Civica Spydus,https://www.townsville.qld.gov.au/facilities-and-recreation/libraries,
Weipa Town Authority,Weipa Town,qld,no,4,AIT Aurora,https://www.weipatownauthority.com.au/services/hibberd-library,
Western Downs Regional Council,Western Downs Regional,qld,no,4,Civica Spydus,https://www.westerndownslibraries.com/,
Whitsunday Regional Council,Whitsunday Regional,qld,no,3,AIT Aurora,https://www.whitsundayrc.qld.gov.au/community-and-environment/facilities-and-recreation/libraries,
Winton Shire Council,Winton Shire,qld,no,4,AIT Aurora,https://www.winton.qld.gov.au/services/library-services,
Woorabinda Aboriginal Shire Council,Woorabinda Aboriginal Shire,qld,no,,AIT Aurora,,
Wujal Wujal Aboriginal Shire Council,Wujal Wujal Aboriginal Shire,qld,no,,AIT Aurora,https://www.wujalwujalcouncil.qld.gov.au/community/indigenous-knowledge-centre/,
Yarrabah Aboriginal Shire Council,Yarrabah Aboriginal Shire,qld,no,,AIT Aurora,https://www.facebook.com/Yarrabah-Knowledge-Center-778130112335968/, 
Adelaide City Council Library Service ,Adelaide,sa,?,4,SirsiDynix Symphony,https://www.cityofadelaide.com.au/community/library-services,
Adelaide Hills Library Service ,Adelaide Hills,sa,no,4,SirsiDynix Symphony,https://www.ahc.sa.gov.au/Community/library,
Adelaide Plains Library Service ,Adelaide Plains,sa,?,?,SirsiDynix Symphony,,
Alexandrina Library Service ,Alexandrina,sa,?,4,SirsiDynix Symphony,,
Barossa Library Service ,Barossa,sa,?,?,SirsiDynix Symphony,,
Barunga West Council ,Barunga West,sa,?,?,SirsiDynix Symphony,,
Berri Barmera Council ,Berri Barmera,sa,no,4,SirsiDynix Symphony,,
Burnside Library Service,Burnside,sa,?,?,SirsiDynix Symphony,,
Campbelltown Public Library Service,Campbelltown (SA),sa,?,4,SirsiDynix Symphony,,
District Council of Ceduna ,Ceduna,sa,?,?,SirsiDynix Symphony,,
Charles Sturt Library Service ,Charles Sturt,sa,no,4,SirsiDynix Symphony,,
Clare and Gilbert Valleys Council ,Clare and Gilbert Valleys,sa,?,?,SirsiDynix Symphony,,
District Council of Cleve ,Cleve,sa,?,?,SirsiDynix Symphony,,
District Council of Coober Pedy ,Coober Pedy,sa,?,4,SirsiDynix Symphony,,
Coorong District Council ,Coorong,sa,?,?,SirsiDynix Symphony,,
Copper Coast Council ,Copper Coast,sa,?,?,SirsiDynix Symphony,,
District Council of Elliston ,Elliston,sa,?,?,SirsiDynix Symphony,,
The Flinders Ranges Council ,Flinders Ranges,sa,?,?,SirsiDynix Symphony,,
District Council of Franklin Harbour ,Franklin Harbour,sa,?,?,SirsiDynix Symphony,,
Gawler Public Library Service ,Gawler,sa,no_unconfirmed,4,SirsiDynix Symphony,,
Regional Council of Goyder ,Goyder,sa,?,?,SirsiDynix Symphony,,
District Council of Grant ,Grant,sa,?,?,SirsiDynix Symphony,,
Holdfast Bay Library Service ,Holdfast Bay,sa,?,?,SirsiDynix Symphony,,
Kangaroo Island Library Service ,Kangaroo Island,sa,yes,4,SirsiDynix Symphony,,
District Council of Karoonda East Murray ,Karoonda East Murray,sa,?,?,SirsiDynix Symphony,,
District Council of Kimba ,Kimba,sa,?,?,SirsiDynix Symphony,,
Kingston District Council ,Kingston Sa,sa,no_unconfirmed,?,SirsiDynix Symphony,,
Light Regional Public Library Service ,Light,sa,?,4,SirsiDynix Symphony,,
District Council of Lower Eyre Peninsula ,Lower Eyre Peninsula,sa,?,4,SirsiDynix Symphony,,
Loxton Waikerie Library Service ,Loxton Waikerie,sa,?,?,SirsiDynix Symphony,,
Marion Library Service ,Marion,sa,,4,SirsiDynix Symphony,,
Mid Murray Council ,Mid Murray,sa,?,?,SirsiDynix Symphony,,
Mitcham Library Service ,Mitcham,sa,yes,4,SirsiDynix Symphony,,
